"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Building Industry Association of Washington's Member Services Corporation","","$292,000","$0","$292,000","2010","20100924","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/attorney-general-s-office-settles-suit-against-biaw-member-services-corporation",""
"Cafeno's Inc.","","$250,000","$0","$250,000","2013","20130607","miscellaneous offenses","illegal gambling business","tax violations","Cafeno's Inc. pleaded guilty to charges of illegal gambling and filing a false tax return; $250,000 of its assets were ordered to be forfeited to the Commonwealth.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","Chicopee","","","","","","","","","","","https://web.archive.org/web/20130715214657/http://www.mass.gov/ago/news-and-updates/press-releases/2013/2013-06-07-cafenos-plea.html",""
"Capital Sweepstakes Systems, Inc.","","$700,000","$0","$700,000","2015","20150731","miscellaneous offenses","illegal gambling business","","The California Attorney General announced that Capital Sweepstakes Systems, Inc. had agreed to pay $700,000 in civil penalties and costs and admit that it violated state gambling laws.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","","","","","","","https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-announces-700000-settlement-capital-sweepstakes",""
"Center to Protect Patient Rights","","$500,000","$0","$500,000","2013","20131024","miscellaneous offenses","campaign finance violation","","","state","agency action","California Attorney General","civil","","","","","","California","","","","","","","","","","","","https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-announces-1-million-civil-settlement-campaign",""
"Citibank","Citigroup","$100,000","$0","$100,000","2002","20020614","miscellaneous offenses","illegal gambling business","","Citibank agreed to prevent its credit cards from being used to pay for illegal online gambling.","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","New York","publicly traded","C","financial services","banking & securities","https://web.archive.org/web/20101116003633/http://www.ag.ny.gov/media_center/2002/jun/jun14a_02.html",""
"Commerce Park Housing Associates, LLC","","$2,275,000","$0","$2,275,000","2009","20091026","miscellaneous offenses","housing program violation","","Commerce Park Housing Associates, a joint venture of Fish Commerce LLC and Messina Commerce LLC, agreed to pay $2.275 million in settlement of allegations it failed to comply with chapter 40B, the state's affordable housing law that requires developers who benefit from special provisions made for affordable housing developments to be limited to a reasonable profit from those projects.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","Braintree","","","","","","","","","","","https://web.archive.org/web/20091111080920/http://www.mass.gov/?pageID=cagopressrelease&L=1&L0=Home&sid=Cago&b=pressrelease&f=2009_10_26_turtle_crossing_40b&csid=Cago",""
"Daymar College","","$12,400,000","$0","$12,400,000","2015","20150910","miscellaneous offenses","civil contempt","","Daymar College agreed to pay $1.2 million in restitution to students and to forgo collection of $11 million in debt owed by former students, in settlement of allegations it violated the Kentucky Consumer Protection Act by attempting to force students to buy textbooks from the more expensive college store, misrepresenting students' ability to transfer credits to other institutions, admitting students who failed admissions assessment, and hiring unqualified faculty staff.","state","agency action","Kentucky Attorney General","civil","","","","","","Kentucky","Owensboro","","","","","","","","","","","https://wayback.archive-it.org/org-386/20161113162718/http://migration.kentucky.gov/Newsroom/ag/daymarsettlement.htm",""
"Democratic Central Committee of Washington","","$250,000","$0","$250,000","2003","20030625","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/party-agrees-pay-penalty-reporting-case",""
"Enron Corporation","Enron","$100,000","$0","$100,000","2003","20030717","miscellaneous offenses","campaign finance violation","","","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","https://web.archive.org/web/20050210050757/http://www.nj.gov/oag/newsreleases03/pr20030717b.html",""
"Facebook","Facebook","$238,000","$0","$238,000","2018","20181218","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","USA","California","publicly traded","FB","information technology","internet services","https://www.atg.wa.gov/news/news-releases/google-facebook-pay-more-400k-washington-state-campaign-finance-cases",""
